V1,V2,V3
-88.7857142857143,23.2142857142857,-53
-88.7142857142857,23.2142857142857,-62
-88.6428571428571,23.2142857142857,-75
-88.5714285714286,23.2142857142857,-83
-88.5,23.2142857142857,-86
-90,23.1428571428571,-252
-89.9285714285714,23.1428571428571,-202
-89.8571428571429,23.1428571428571,-173
-89.7857142857143,23.1428571428571,-168
-89.7142857142857,23.1428571428571,-165
-89.6428571428571,23.1428571428571,-166
-89.5714285714286,23.1428571428571,-163
-89.5,23.1428571428571,-150
-89.4285714285714,23.1428571428571,-140
-89.3571428571429,23.1428571428571,-133
-89.2857142857143,23.1428571428571,-128
-89.2142857142857,23.1428571428571,-115
-89.1428571428571,23.1428571428571,-107
-89.0714285714286,23.1428571428571,-99
-89,23.1428571428571,-93
-88.9285714285714,23.1428571428571,-88
-88.8571428571429,23.1428571428571,-86
-88.7857142857143,23.1428571428571,-87
-88.7142857142857,23.1428571428571,-87
-88.6428571428571,23.1428571428571,-94
-88.5714285714286,23.1428571428571,-79
-88.5,23.1428571428571,-80
-90,23.0714285714286,-207
-89.9285714285714,23.0714285714286,-172
-89.8571428571429,23.0714285714286,-187
-89.7857142857143,23.0714285714286,-171
-89.7142857142857,23.0714285714286,-153
-89.6428571428571,23.0714285714286,-146
-89.5714285714286,23.0714285714286,-148
-89.5,23.0714285714286,-165
-89.4285714285714,23.0714285714286,-122
-89.3571428571429,23.0714285714286,-113
-89.2857142857143,23.0714285714286,-104
-89.2142857142857,23.0714285714286,-104
-89.1428571428571,23.0714285714286,-101
-89.0714285714286,23.0714285714286,-95
-89,23.0714285714286,-90
-88.9285714285714,23.0714285714286,-84
-88.8571428571429,23.0714285714286,-88
-88.7857142857143,23.0714285714286,-86
-88.7142857142857,23.0714285714286,-93
-88.6428571428571,23.0714285714286,-104
-88.5714285714286,23.0714285714286,-75
-88.5,23.0714285714286,-69
-90,23,-177
-89.9285714285714,23,-144
-89.8571428571429,23,-137
-89.7857142857143,23,-145
-89.7142857142857,23,-140
-89.6428571428571,23,-134
-89.5714285714286,23,-133
-89.5,23,-157
-89.4285714285714,23,-107
-89.3571428571429,23,-108
-89.2857142857143,23,-105
-89.2142857142857,23,-99
-89.1428571428571,23,-94
-89.0714285714286,23,-86
-89,23,-80
-88.9285714285714,23,-75
-88.8571428571429,23,-73
-88.7857142857143,23,-67
-88.7142857142857,23,-70
-88.6428571428571,23,-79
-88.5714285714286,23,-69
-88.5,23,-50
-90,22.9285714285714,-145
-89.9285714285714,22.9285714285714,-122
-89.8571428571429,22.9285714285714,-100
-89.7857142857143,22.9285714285714,-120
-89.7142857142857,22.9285714285714,-124
-89.6428571428571,22.9285714285714,-122
-89.5714285714286,22.9285714285714,-113
-89.5,22.9285714285714,-112
-89.4285714285714,22.9285714285714,-100
-89.3571428571429,22.9285714285714,-99
-89.2857142857143,22.9285714285714,-96
-89.2142857142857,22.9285714285714,-88
-89.1428571428571,22.9285714285714,-84
-89.0714285714286,22.9285714285714,-79
-89,22.9285714285714,-72
-88.9285714285714,22.9285714285714,-64
-88.8571428571429,22.9285714285714,-62
-88.7857142857143,22.9285714285714,-62
-88.7142857142857,22.9285714285714,-59
-88.6428571428571,22.9285714285714,-66
-88.5714285714286,22.9285714285714,-58
-88.5,22.9285714285714,-29
-90,22.8571428571429,-130
-89.9285714285714,22.8571428571429,-123
-89.8571428571429,22.8571428571429,-123
-89.7857142857143,22.8571428571429,-118
-89.7142857142857,22.8571428571429,-111
-89.6428571428571,22.8571428571429,-100
-89.5714285714286,22.8571428571429,-102
-89.5,22.8571428571429,-84
-89.4285714285714,22.8571428571429,-79
-89.3571428571429,22.8571428571429,-85
-89.2857142857143,22.8571428571429,-81
-89.2142857142857,22.8571428571429,-78
-89.1428571428571,22.8571428571429,-74
-89.0714285714286,22.8571428571429,-69
-89,22.8571428571429,-61
-88.9285714285714,22.8571428571429,-51
-88.8571428571429,22.8571428571429,-57
-88.7857142857143,22.8571428571429,-64
-88.7142857142857,22.8571428571429,-52
-88.6428571428571,22.8571428571429,-49
-88.5714285714286,22.8571428571429,-59
-88.5,22.8571428571429,-42
-90,22.7857142857143,-122
-89.9285714285714,22.7857142857143,-110
-89.8571428571429,22.7857142857143,-89
-89.7857142857143,22.7857142857143,-102
-89.7142857142857,22.7857142857143,-92
-89.6428571428571,22.7857142857143,-71
-89.5714285714286,22.7857142857143,-82
-89.5,22.7857142857143,-71
-89.4285714285714,22.7857142857143,-74
-89.3571428571429,22.7857142857143,-76
-89.2857142857143,22.7857142857143,-70
-89.2142857142857,22.7857142857143,-63
-89.1428571428571,22.7857142857143,-57
-89.0714285714286,22.7857142857143,-52
-89,22.7857142857143,-49
-88.9285714285714,22.7857142857143,-55
-88.8571428571429,22.7857142857143,-60
-88.7857142857143,22.7857142857143,-62
-88.7142857142857,22.7857142857143,-47
-88.6428571428571,22.7857142857143,-26
-88.5714285714286,22.7857142857143,-74
-88.5,22.7857142857143,-90
-90,22.7142857142857,-103
-89.9285714285714,22.7142857142857,-94
-89.8571428571429,22.7142857142857,-74
-89.7857142857143,22.7142857142857,-91
-89.7142857142857,22.7142857142857,-77
