a,b,ida,idb,nSites,J9,J8,J7,J6,J5,J4,J3,J2,J1,rab,Fa,Fb,theta,inbred_relatedness_1_2,inbred_relatedness_2_1,fraternity,identity,zygosity,2of3_IDB,F_diff_a_b,loglh,nIter,bestoptimll,coverage,2dsfs,R0,R1,KING,2dsfs_loglike,2dsfsf_niter
1,4,mx_002.trim.unal.bt2.bam,mx_005.trim.unal.bt2.bam,8165,0.822335,0,0.000008,0.023339,0,0.142427,0,0.011891,0,0.000008,0.154319,0.03523,0.000004,0,0,0.011899,0,0.011899,0.094782,0.059544,-10611.23221,142,-1,0.791106,"4.775466e-01,1.610872e-01,2.699348e-02,1.529641e-01,7.277721e-02,2.141050e-02,5.186728e-02,2.718667e-02,8.166965e-03",1.083591,0.164837,-0.167146,-11776.33356,15
1,5,mx_002.trim.unal.bt2.bam,mx_007.trim.unal.bt2.bam,8722,0.793178,0,0,0.056835,0,0.099115,0,0.05087,0.000001,0.000001,0.149987,0.107707,0.000001,0.000001,0.000001,0.05087,0.000001,0.050872,0.128847,0.02114,-11663.72296,150,-1,0.845073,"4.822170e-01,1.466573e-01,3.803937e-02,1.527596e-01,7.479884e-02,2.064314e-02,5.281503e-02,2.370064e-02,8.369078e-03",1.21465,0.172104,-0.216698,-13008.78557,14
1,6,mx_002.trim.unal.bt2.bam,mx_008.trim.unal.bt2.bam,8496,0.692636,0,0,0.149082,0,0.114825,0,0.043456,0.000002,0.000002,0.158282,0.192539,0.000002,0.000002,0.000002,0.043456,0.000002,0.043457,0.175411,-0.017129,-11392.11598,66,-1,0.823176,"4.807426e-01,1.411817e-01,4.556360e-02,1.647199e-01,5.919745e-02,2.174184e-02,5.416115e-02,2.182481e-02,1.086689e-02",1.684612,0.131786,-0.299772,-12606.58351,15
1,7,mx_002.trim.unal.bt2.bam,mx_009.trim.unal.bt2.bam,9008,0.808832,0,0,0.041779,0,0.0813,0,0.068089,0,0,0.149389,0.109868,0,0,0,0.068089,0,0.068089,0.129629,0.019761,-12108.96535,174,-1,0.872784,"4.887744e-01,1.396497e-01,3.757987e-02,1.557349e-01,7.394737e-02,1.858361e-02,5.208234e-02,2.571586e-02,7.931966e-03",1.212514,0.172232,-0.216123,-13481.10886,18
1,8,mx_002.trim.unal.bt2.bam,mx_010.trim.unal.bt2.bam,8905,0.81361,0,0,0.033899,0,0.137496,0,0.014995,0,0,0.152491,0.048894,0,0,0,0.014995,0,0.014995,0.100693,0.051798,-11839.13837,130,-1,0.862804,"4.854881e-01,1.525737e-01,2.880080e-02,1.529994e-01,7.449181e-02,1.999194e-02,5.124839e-02,2.854490e-02,5.861030e-03",1.074604,0.171577,-0.17016,-13234.67757,14
1,9,mx_002.trim.unal.bt2.bam,mx_011.trim.unal.bt2.bam,7474,0.854844,0,0,0.000004,0,0.130434,0,0.014716,0.000001,0.000001,0.145152,0.014722,0.000001,0.000001,0.000001,0.014716,0.000001,0.014717,0.079937,0.065215,-9389.943569,98,-1,0.724155,"4.710316e-01,1.652659e-01,2.662723e-02,1.557215e-01,8.150021e-02,1.374411e-02,5.281944e-02,2.545024e-02,7.839719e-03",0.974803,0.185384,-0.147928,-10412.94172,18
1,10,mx_002.trim.unal.bt2.bam,mx_012.trim.unal.bt2.bam,8970,0.819317,0,0,0.030327,0,0.102227,0,0.048129,0,0,0.150356,0.078456,0,0,0,0.048129,0,0.048129,0.114406,0.03595,-11949.23713,118,-1,0.869102,"4.853874e-01,1.469802e-01,3.436128e-02,1.544174e-01,7.545471e-02,1.762228e-02,5.459636e-02,2.430687e-02,6.873508e-03",1.178954,0.174549,-0.207311,-13413.28419,14
1,11,mx_002.trim.unal.bt2.bam,mx_014.trim.unal.bt2.bam,7403,0.844423,0,0,0.007533,0,0.125752,0,0.022292,0,0,0.148044,0.029825,0,0,0,0.022292,0,0.022292,0.088935,0.059109,-9391.019293,154,-1,0.717275,"4.763807e-01,1.632727e-01,2.932536e-02,1.559448e-01,7.441014e-02,1.699688e-02,5.065245e-02,2.610430e-02,6.912624e-03",1.074824,0.168236,-0.167362,-10420.62837,18
1,12,mx_002.trim.unal.bt2.bam,mx_015.trim.unal.bt2.bam,3359,0.856538,0,0,0.000172,0,0.143289,0,0,0.000001,0.000001,0.14329,0.000173,0.000001,0.000001,0.000001,0,0.000001,0.000001,0.071732,0.071558,-3897.060074,90,-1,0.325453,"4.833749e-01,1.593184e-01,2.407020e-02,1.505024e-01,8.269293e-02,1.502057e-02,4.824301e-02,3.551067e-02,1.266930e-03",0.874479,0.191125,-0.117803,-4379.860734,54
1,13,mx_002.trim.unal.bt2.bam,mx_017.trim.unal.bt2.bam,7556,0.379494,0.348678,0.029292,0.060221,0.033056,0.059996,0.068751,0.000059,0.020453,0.30044,0.149259,0.113789,0.173173,0.054829,0.036981,0.029351,0.020453,0.049804,0.386059,-0.000112,-9634.527548,218,-1,0.7321,"5.232958e-01,1.242198e-01,2.073310e-02,1.156722e-01,9.878597e-02,3.262302e-02,1.608008e-02,4.108554e-02,2.750460e-02",0.372656,0.281912,0.049219,-10412.00774,19
1,14,mx_002.trim.unal.bt2.bam,mx_018.trim.unal.bt2.bam,7055,0.387852,0.450688,0.002065,0,0.000019,0.071411,0.087964,0,0,0.293397,0.159375,0.00002,0.157696,0.043982,0.00001,0.002065,0,0.002065,0.351098,0.035706,-8931.526681,126,-1,0.683558,"5.116100e-01,1.453559e-01,1.091101e-02,1.151776e-01,1.056273e-01,2.434797e-02,1.718966e-02,4.529406e-02,2.448655e-02",0.266036,0.294821,0.091288,-9664.641474,22
1,15,mx_002.trim.unal.bt2.bam,mx_019.trim.unal.bt2.bam,8961,0.441561,0.153013,0.067948,0.093783,0.090803,0.033873,0.068496,0.032049,0.018474,0.282402,0.152892,0.235109,0.17035,0.052722,0.063875,0.099998,0.018474,0.118471,0.418104,-0.029955,-12360.03213,150,-1,0.86823,"5.291171e-01,1.088860e-01,2.872328e-02,1.268071e-01,8.652291e-02,3.452451e-02,2.106563e-02,2.942030e-02,3.493310e-02",0.575442,0.247614,-0.027619,-13310.82405,14
1,16,mx_002.trim.unal.bt2.bam,mx_020.trim.unal.bt2.bam,8499,0.776133,0.000001,0,0.074368,0,0.137606,0,0.011893,0,0.000001,0.149498,0.08626,0,0,0,0.011893,0,0.011893,0.11788,0.031619,-11314.85104,58,-1,0.823467,"4.696482e-01,1.595262e-01,3.761121e-02,1.563645e-01,6.918652e-02,2.319317e-02,5.207680e-02,2.521414e-02,7.179172e-03",1.296322,0.152398,-0.219208,-12587.41336,18
1,17,mx_002.trim.unal.bt2.bam,mx_021.trim.unal.bt2.bam,8978,0.774246,0.000009,0,0.073363,0,0.152265,0,0.000115,0.000002,0.000007,0.152383,0.073481,0.000004,0.000002,0.000002,0.000115,0.000002,0.000118,0.112936,0.039451,-12089.7911,46,-1,0.869877,"4.803974e-01,1.518434e-01,3.408057e-02,1.608641e-01,6.848306e-02,1.840571e-02,4.952696e-02,3.060118e-02,5.797604e-03",1.22085,0.153783,-0.197986,-13465.11364,14
1,18,mx_002.trim.unal.bt2.bam,mx_022.trim.unal.bt2.bam,8821,0.462321,0.11607,0.103433,0.085374,0.082308,0.063859,0.073011,0.000187,0.013438,0.291395,0.150495,0.181306,0.171831,0.049944,0.054592,0.10362,0.013438,0.117058,0.405028,-0.010757,-12103.18116,146,-1,0.854665,"5.259813e-01,1.176298e-01,2.287540e-02,1.172406e-01,9.440006e-02,3.718313e-02,2.165012e-02,3.176277e-02,3.127680e-02",0.471668,0.270998,0.010858,-13006.83719,18
1,19,mx_002.trim.unal.bt2.bam,mx_023.trim.unal.bt2.bam,9088,0.845451,0.000004,0,0,0,0.154544,0,0,0,0.000002,0.154544,0,0.000001,0,0,0,0,0,0.077274,0.077272,-12031.72445,70,-1,0.880535,"4.113165e-01,2.492425e-01,7.076756e-03,1.215905e-01,1.216420e-01,3.414586e-03,4.013235e-02,4.456375e-02,1.021042e-03",0.388099,0.261023,0.041118,-13305.61323,17
1,20,mx_002.trim.unal.bt2.bam,mx_024.trim.unal.bt2.bam,8940,0.407369,0.241421,0.046403,0.080725,0.073913,0.054268,0.057446,0.01686,0.021595,0.287227,0.15017,0.193093,0.170831,0.050318,0.058551,0.063263,0.021595,0.084859,0.404424,-0.013228,-12278.71576,118,-1,0.866195,"5.295668e-01,1.149740e-01,2.244944e-02,1.259271e-01,8.847489e-02,3.406302e-02,2.238201e-02,3.083792e-02,3.132479e-02",0.506714,0.252329,-0.002461,-13223.92415,13
1,21,mx_002.trim.unal.bt2.bam,mx_025.trim.unal.bt2.bam,7448,0.788448,0,0,0.047363,0,0.144495,0,0.019693,0,0.000001,0.164188,0.067056,0,0,0,0.019693,0,0.019693,0.115622,0.048566,-9381.552344,82,-1,0.721636,"4.760511e-01,1.620598e-01,3.350761e-02,1.444754e-01,7.583868e-02,2.221530e-02,5.331263e-02,2.515899e-02,7.380502e-03",1.144802,0.172075,-0.193442,-10401.61241,22
