sample,lat,lon,collectionDate,collectionDepth,depthZone,depthZoneM,site,C3-C21-C3fc-C3an-C65b-C3b-C3bb,C3-C21-C3an-C3fc-C3gz-C3b-C3bb,C3-C3de-C21-C3bb-C3an-C21ae-C65b-C3s,C3-C3fc-C21-C3b-C3an-C3fd-C3bb,C3-C3de-C3bb-C21ae-C21-C3an-C3s,C3-C3an-C3de-C21-C3bb-C3fc-C3b,C3-C21-C3gu-C3gy-C3gw-C3gx-C3gv-C3b,C3an/C3-C21-C3bb,C3-C3fc-C40g-C3b-C3an-C21-C3fd-C3s-C3bb,C3/C3b,G3b,G3am
MX055,22.58667,-89.75208,19.07.19,35.13513514,Mesophotic,35,Alacranes,0,0,0,0,0,0,6053,0,0,0,0,0
MX056,22.58667,-89.75208,19.07.19,34.53453453,Mesophotic,35,Alacranes,0,0,0,0,2782,0,0,0,0,0,0,0
MX057,22.58667,-89.75208,19.07.19,33.93393393,Mesophotic,35,Alacranes,19371,0,0,0,0,0,0,0,0,0,0,0
MX058,22.58667,-89.75208,19.07.19,25.22522523,Shallow,25,Alacranes,16469,0,0,0,0,0,0,0,0,0,0,0
MX059,22.58667,-89.75208,19.07.19,24.92492492,Shallow,25,Alacranes,0,0,0,15565,0,0,0,0,0,0,0,0
MX060,22.58667,-89.75208,19.07.19,23.72372372,Shallow,25,Alacranes,13016,0,0,0,0,0,0,0,0,0,0,0
MX061,22.58667,-89.75208,19.07.19,23.72372372,Shallow,25,Alacranes,17082,0,0,0,0,0,0,0,0,0,0,0
MX062,22.58667,-89.75208,19.07.19,24.02402402,Shallow,25,Alacranes,12001,0,0,0,0,0,0,0,0,0,0,0
MX063,22.58667,-89.75208,19.07.19,23.72372372,Shallow,25,Alacranes,20860,0,0,0,0,0,0,0,0,0,0,0
MX064,22.50925,-89.6278,19.07.19,25.82582583,Shallow,25,Alacranes,14816,0,0,0,0,0,0,0,0,0,0,0
MX065,22.50925,-89.6278,19.07.19,26.72672673,Shallow,25,Alacranes,15366,0,0,0,0,0,0,0,0,0,0,0
MX066,22.50925,-89.6278,19.07.19,25.82582583,Shallow,25,Alacranes,0,0,0,9132,0,0,0,0,0,0,0,0
MX067,23.30706,-88.71617,20.07.19,36.03603604,Mesophotic,35,Bajos del Norte,0,0,0,0,12713,0,0,0,0,0,0,0
MX068,23.30706,-88.71617,20.07.19,35.73573574,Mesophotic,35,Bajos del Norte,0,0,5030,0,0,0,0,0,0,0,0,0
MX069,23.30706,-88.71617,20.07.19,37.53753754,Mesophotic,35,Bajos del Norte,0,0,0,0,10602,0,0,0,0,0,0,0
MX070,23.30706,-88.71617,20.07.19,39.03903904,Mesophotic,35,Bajos del Norte,5593,0,0,0,0,0,0,0,0,0,0,0
MX071,23.30706,-88.71617,20.07.19,39.33933934,Mesophotic,35,Bajos del Norte,0,0,0,0,16003,0,0,0,0,0,0,0
MX072,23.30706,-88.71617,20.07.19,37.83783784,Mesophotic,35,Bajos del Norte,12142,0,0,0,0,0,0,0,0,0,0,0
MX073,23.30706,-88.71617,20.07.19,37.53753754,Mesophotic,35,Bajos del Norte,14864,0,0,0,0,0,0,0,0,0,0,0
