sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
mx_097.trim.bt2.sam	221	2	5	10395	5	3690	2	10	46739	20	0.92687	0.000	0.000	0.999	0.000
mx_100.trim.bt2.sam	133	35	3	8735	4	556	37	12	29499	12	0.98154	0.001	0.000	0.998	0.000
mx_101.trim.bt2.sam	4	1	0	88	0	4	1	0	91	0	0.95833	0.011	0.000	0.989	0.000
mx_103.trim.bt2.sam	14	0	0	686	0	17	0	0	816	0	0.97959	0.000	0.000	1.000	0.000
mx_106.trim.bt2.sam	140	1	4	4279	3	794	8	4	7271	5	0.90176	0.001	0.001	0.998	0.001
mx_107.trim.bt2.sam	43	0	1	3183	1	66	0	1	4505	1	0.98557	0.000	0.000	1.000	0.000
mx_109.trim.bt2.sam	29	0	0	446	0	47	0	0	486	0	0.91182	0.000	0.000	1.000	0.000
mx_112.trim.bt2.sam	80	0	0	304	1	212	0	0	322	1	0.60374	0.000	0.000	0.997	0.003
mx_114.trim.bt2.sam	225	1	11	11945	3	2303	1	40	74661	25	0.97010	0.000	0.001	0.999	0.000
mx_115.trim.bt2.sam	193	0	11	6080	5	2183	0	15	12443	8	0.85098	0.000	0.001	0.998	0.001
mx_118.trim.bt2.sam	40	0	1	642	1	66	0	1	694	1	0.91339	0.000	0.001	0.997	0.001
mx_119.trim.bt2.sam	133	5	4	4062	2	589	5	4	6868	5	0.92116	0.001	0.001	0.998	0.001
mx_121.trim.bt2.sam	53	15	0	647	1	130	15	0	730	1	0.85160	0.020	0.000	0.979	0.001
mx_123.trim.bt2.sam	46	0	1	536	0	75	0	1	570	0	0.88390	0.000	0.002	0.998	0.000
