sample,Symbiodinium,Breviolum,Cladocopium,Durusdinium,Total Alignments,Frac Symbiodinium,Frac Breviolum,Frac Cladocopium,Frac Durusdinium
mx_047,168,320,134771,170,135429,0.001240502,0.002362862,0.995141366,0.00125527
mx_033,138,408,134700,222,135468,0.001018691,0.003011781,0.994330764,0.001638763
mx_002,170,409,147296,274,148149,0.001147493,0.002760734,0.994242283,0.001849489
mx_084,199,391,150423,242,151255,0.001315659,0.002585039,0.994499355,0.001599947
mx_045,196,395,158697,271,159559,0.001228386,0.002475573,0.99459761,0.001698431
mx_115,654,900,163013,642,165209,0.003958622,0.005447645,0.986707746,0.003885987
mx_083,296,530,169095,582,170503,0.00173604,0.00310845,0.991742081,0.00341343
mx_041,268,601,172388,246,173503,0.001544642,0.003463917,0.993573598,0.001417843
mx_052,210,538,182153,525,183426,0.001144876,0.002933063,0.993059872,0.00286219
mx_030,512,519,182857,222,184110,0.002780946,0.002818967,0.993194286,0.001205801
mx_040,354,635,185161,827,186977,0.001893281,0.00339614,0.990287575,0.004423004
mx_071,177,365,188338,767,189647,0.000933313,0.001924628,0.993097703,0.004044356
mx_055,294,636,193326,404,194660,0.001510326,0.003267235,0.993147026,0.002075414
mx_068,251,497,202089,212,203049,0.001236155,0.002447685,0.995272077,0.001044083
mx_079,375,562,206774,362,208073,0.001802252,0.002700975,0.993756999,0.001739774
mx_066,263,588,209739,416,211006,0.00124641,0.002786651,0.993995431,0.001971508
mx_090,248,498,213055,726,214527,0.001156032,0.002321386,0.993138393,0.003384189
mx_053,428,666,213514,1868,216476,0.001977124,0.003076554,0.98631719,0.008629132
mx_024,458,780,230692,1503,233433,0.001962019,0.00334143,0.988257873,0.006438678
mx_074,312,634,232790,970,234706,0.001329323,0.002701252,0.991836596,0.00413283
mx_051,348,681,236874,1159,239062,0.001455689,0.002848633,0.990847563,0.004848115
mx_067,342,445,239668,622,241077,0.001418634,0.001845883,0.994155394,0.002580089
mx_046,330,768,240439,444,241981,0.001363743,0.003173803,0.993627599,0.001834855
mx_010,579,981,243900,1032,246492,0.002348961,0.003979845,0.989484446,0.004186748
mx_089,441,584,246221,2545,249791,0.001765476,0.002337955,0.985708052,0.010188518
mx_082,546,585,246532,2280,249943,0.002184498,0.002340534,0.986352888,0.00912208
mx_056,442,1248,254339,469,256498,0.00172321,0.004865535,0.99158278,0.001828474
mx_042,472,960,312977,1118,315527,0.00149591,0.003042529,0.991918283,0.003543278
mx_008,633,718,318748,4596,324695,0.001949522,0.002211306,0.98168435,0.014154822
mx_060,450,800,326559,472,328281,0.001370777,0.002436937,0.994754494,0.001437793
mx_001,305,641,328180,449,329575,0.000925434,0.001944929,0.995767276,0.001362361
mx_043,441,885,340606,473,342405,0.001287948,0.002584659,0.994745988,0.001381405
mx_100,843,864,344048,694,346449,0.002433259,0.002493874,0.993069687,0.002003181
mx_081,421,714,354562,1307,357004,0.001179258,0.001999978,0.993159741,0.003661023
mx_077,464,699,361410,541,363114,0.001277836,0.001925015,0.995307259,0.00148989
mx_062,485,930,365544,784,367743,0.001318856,0.00252894,0.99402028,0.002131924
mx_022,421,892,385538,1263,388114,0.001084733,0.002298294,0.993362775,0.003254199
mx_059,559,891,389615,2080,393145,0.001421867,0.002266339,0.991021125,0.005290669
mx_044,397,793,397979,793,399962,0.000992594,0.001982688,0.995042029,0.001982688
mx_034,763,797,410295,550,412405,0.001850123,0.001932566,0.99488367,0.00133364
mx_072,627,998,496196,703,498524,0.001257713,0.00200191,0.995330215,0.001410163
mx_075,585,1125,496645,542,498897,0.001172587,0.002254974,0.995486042,0.001086397
mx_050,563,990,522782,1309,525644,0.001071067,0.001883404,0.99455525,0.002490279
mx_063,625,1181,534417,1220,537443,0.001162914,0.002197442,0.994369635,0.002270008
mx_012,672,1775,536886,2743,542076,0.001239679,0.003274449,0.990425697,0.005060176
mx_021,531,837,540598,626,542592,0.000978636,0.001542596,0.996325047,0.001153721
mx_080,858,1108,541880,1473,545319,0.001573391,0.002031838,0.9936936,0.002701171
mx_064,1118,1441,564605,1966,569130,0.001964402,0.002531935,0.992049268,0.003454395
mx_097,1919,1634,573728,1897,579178,0.003313316,0.00282124,0.990590112,0.003275332
mx_061,731,1383,677735,2171,682020,0.001071816,0.0020278,0.993717193,0.003183191
mx_049,678,1177,687089,913,689857,0.000982812,0.001706151,0.995987574,0.001323463
mx_069,664,1019,709122,992,711797,0.00093285,0.001431588,0.996241906,0.001393656
mx_078,1070,1306,856124,1161,859661,0.001244677,0.001519203,0.995885587,0.001350532
mx_114,948,963,964532,1608,968051,0.000979287,0.000994782,0.996364861,0.00166107
mx_058,1073,1769,981856,3021,987719,0.001086341,0.001790995,0.994064101,0.003058562
mx_070-2,1260,1654,1215707,4319,1222940,0.001030304,0.001352478,0.994085564,0.003531653
mx_023-2,1654,2189,1956402,5199,1965444,0.00084154,0.001113743,0.995399513,0.002645204
